Composer, Score, Distribution
Beethoven,Sonata 26 ii Op 81a C min.mid,"[72.125, 29.125, 49.625, 33.25, 26.375, 64.70833334, 22.5, 89.75, 46.66666667, 45.375, 47.25, 23.458333299999993]"
Beethoven,Sonata 26 iii Op 81a Eb major.mid,"[202.99999950000063, 85.625, 239.9166662270003, 472.49999950000074, 40.99999990000015, 354.9583329270007, 128.83333330000005, 322.6249994000009, 154.87499975400033, 95.1666666000001, 554.2083325100011, 55.75]"
Beethoven,Sonata 25 iii Op 79 G major.mid,"[74.33333350000007, 14.416666700000022, 128.25000026000012, 2.0, 73.1250001, 23.458333399999987, 43.41666682999998, 103.08333303000002, 0.666666599999985, 54.708333539999984, 1.0, 80.08333364000005]"
Beethoven,Sonata 15 iv Op 28 D major.mid,"[51.91666679999986, 135.6666664600002, 361.75000148999766, 13.5, 169.41666651999998, 24.000000099999852, 141.24999973000035, 195.66666656000004, 51.0833333999999, 393.49999950000074, 18.5, 100.41666679999992]"
Beethoven,Sonata 17 iii Op 31 no 2 D minor.mid,"[112.12499989000001, 115.24999992, 218.41666655900005, 54.25, 164.58333328900002, 175.04166661, 36.0833333999999, 134.3333332500001, 58.41666665000001, 388.37499996, 98.3333332600001, 45.41666669999992]"
Beethoven,Sonata 16 i Op 31 no 1 G major.mid,"[183.54166650000025, 93.91666639999994, 544.3749989000008, 61.625, 170.83333299999993, 94.75, 382.16666529999986, 419.12499990000015, 25.75, 235.7083332000002, 77.49999979999996, 414.2083329000003]"
Beethoven,Sonata 21 ii Op 53 F major.mid,"[62.75, 10.833333300000007, 40.58333330000001, 20.0, 79.625, 89.54166660000001, 10.5, 46.125, 24.75, 37.75, 31.5, 52.08333329999999]"
Beethoven,Sonata 16 Op 31 no 1 ii C major.mid,"[540.2083288170031, 124.20833155999982, 354.9583293230029, 137.54166492999968, 386.2499978600014, 379.6666640000003, 76.99999953000018, 818.5416635900009, 122.20833112999964, 190.3749984600011, 82.49999935999998, 232.66666532300005]"
Beethoven,Sonata 18 i Op 31 no 3 Eb major.mid,"[378.87499973000007, 64.6666666000001, 180.99999863000068, 603.7499998700005, 46.375, 398.4583329000003, 100.24999993000004, 285.4583325000008, 350.9166662600005, 130.9999995300002, 357.70833327999986, 75.12499993000004]"
Beethoven,Sonata 17 i Op 31 no 2 D minor.mid,"[225.3333333999999, 221.8333316000003, 485.1249979300002, 91.375, 491.6666664, 348.3333323700001, 85.79166600000008, 213.4583323700001, 148.79166640000005, 752.95833333, 190.5, 169.66666639999994]"
Beethoven,Sonata 25 i Op 79 G major.mid,"[233.49999635000054, 134.45833306, 452.0833300000007, 88.79166640000017, 262.91666500000036, 48.66666640000017, 252.7499962300011, 458.2499940320013, 79.49999940000038, 392.9583312600005, 88.58333320000008, 300.4583322660004]"
Beethoven,Sonata 18 iii Op 31 no 3 Eb major.mid,"[64.5, 2.0, 108.0, 300.25, 4.5, 162.75, 10.5, 147.75, 127.0, 24.5, 307.25, 60.0]"
Beethoven,Sonata 26 i Op 81a Eb major.mid,"[414.37500033, 60.625, 284.2916660000001, 587.291667, 51.75, 600.3750003, 112.625, 441.1249993000001, 340.9583349999998, 119.625, 868.083333, 133.375]"
Beethoven,Sonata 24 i Op 78 F# major.mid,"[42.79166651999998, 335.79166662999995, 53.33333319000003, 180.74999953999992, 71.62499959999991, 146.9166664300002, 317.5416663499999, 38.74999989999998, 256.45833275000007, 57.458333400000015, 156.62499988, 205.91666621999997]"
Beethoven,Sonata 22 i Op 54 F major.mid,"[230.5416658699997, 78.58333442000026, 111.75000049999997, 36.29166680000006, 123.95833287999994, 330.1250002200001, 4.708333399999987, 148.41666678, 30.166666319999976, 149.87500060000002, 175.7500006800001, 28.708331989999948]"
Beethoven,Sonata 20 i Op 49 no 2 G major.mid,"[95.70833330400006, 45.54166606999986, 290.33333223300065, 10.0, 125.62499969999978, 17.00000019999976, 147.04166629999972, 271.66666622399987, 8.58333330000005, 211.1249977229999, 1.9583332999999925, 171.49999931299973]"
Beethoven,Sonata 14 iii Op 27 no 2 C# minor.mid,"[149.91666729999997, 494.4166673999998, 55.8333332000002, 370.8333342000001, 265.91666620000024, 36.2916666000001, 218.58333409999932, 224.41666660000033, 677.3333333000002, 176.7916654000005, 99.70833330000005, 191.54166669999995]"
Beethoven,Sonata 24 ii Op 78 F# major.mid,"[46.166666629999995, 343.54166669999995, 53.33333319000003, 189.41666631999993, 71.41666629999992, 149.6249999000002, 321.37499951999985, 38.74999989999998, 260.9166662900001, 56.458333400000015, 158.54166647999998, 205.33333291999998]"
Beethoven,Sonata 14 ii Op 27 no 2 Db major.mid,"[84.5, 265.0, 6, 133.0, 14, 171.0, 167.0, 26.0, 271.5, 0, 96.0, 24]"
Beethoven,Sonata 17 ii Op 31 no 2 Bb major.mid,"[141.95833325, 5.291666660000004, 100.16666659999999, 94.58333329999999, 24.583333330000002, 208.08333319, 30.20833334, 55.875, 18.75, 78.70833329999999, 203.99999977, 17.625]"
Beethoven,Sonata 22 ii Op 53 F major.mid,"[399.75, 140.33333319999997, 167.5, 101.33333319999997, 150.75, 290.66666660000004, 72.33333319999997, 231.08333340000001, 167.58333319999997, 176.75, 130.9999998, 80.74999940000026]"
Beethoven,Leonore Overture #2 Op 72a C major.mid,"[2355.458320300002, 414.0416661000004, 1198.2083258000014, 879.4166659000001, 1437.083319800001, 1195.9583309, 639.9999975000001, 2076.4999857000007, 676.2499997000002, 783.8333309, 373.4166671999998, 1415.2083227000012]"
Beethoven,Duo for Violin and Cello WoO 32 i Eb major.mid,"[177.74999980000007, 14.625, 254.6250005, 289.8749994000001, 25.375, 286.0416660000001, 18.125, 245.8333329000002, 151.2083333400001, 83.83333330000005, 363.7083333400001, 36.875]"
Beethoven,Bagatelle WoO52 C minor.mid,"[282.58333339999996, 4.666666600000042, 226.625, 174.70833339999996, 74.29166660000004, 207.83333320000008, 41.083333200000084, 337.70833359999983, 103.375, 79.08333320000008, 124.25, 120.79166660000004]"
Beethoven,Sonata 31 iii Op 110 Ab major.mid,"[234.1666663999999, 192.70833316, 189.33333350000004, 343.5833332799999, 63.12500003000001, 210.3333333, 92.12499996, 279.12499986, 287.79166654000005, 84.04166673000002, 275.70833354000007, 132.20833337]"
Beethoven,String Quartet #2 Op 18 2 ii C major.mid,"[247.37499994, 3.25, 87.12499999, 8.5, 106.99999992999999, 98.83333329999999, 11.625, 185.83333321299997, 7.625, 65.125, 39.20833333, 62.541666629999995]"
Beethoven,String Quartet #3 Op 18 3 i D major.mid,"[255.16666360000136, 425.91666849999916, 789.4166638000007, 98.6666666000001, 568.0833340000004, 180.0833332000002, 373.37500379999904, 515.5833307000003, 142.08333340000001, 765.9999973000004, 148.79166669999995, 390.25000499999857]"
Beethoven,Sonata 28 iv Op 101 A major.mid,"[97.20833330000005, 213.70833326, 213.04166666, 69.625, 645.99999989, 67.5, 223.75, 73.08333329999999, 259.16666666000003, 487.95833333, 24.0, 407.95833329]"
Beethoven,String Quartet #1 Op 18 1 ii D minor.mid,"[130.79166639999994, 126.16666639999994, 249.95833312999997, 38.08333329999999, 167.99999975999998, 196.04166649999996, 63.5, 185.33333299999993, 31.999999929999987, 297.0833328599999, 139.49999979999996, 46.416666629999995]"
Beethoven,Sonata 30 i Op 109 E major.mid,"[19.125, 62.83333329999999, 12.5, 87.29166667, 90.45833340000001, 17.125, 100.58333329999999, 12.791666670000001, 119.5, 56.875, 31.125, 157.08333319999997]"
Beethoven,String Quartet #1 Op 18 1 iv F major.mid,"[388.58333394699986, 76.54166660000004, 170.291666663, 59.916666699999894, 170.25000016299998, 314.1666664000002, 62.33333303299999, 312.45833323, 92.79166670000001, 239.20833367699996, 170.70833337400023, 70.16666614300023]"
Beethoven,Sonatina Anh 5 2 i F major.mid,"[70.29166629999992, 5.75, 26.333332999999925, 6.25, 48.541666599999985, 69.79166659999999, 5.75, 39.0, 0, 37.375, 25.75, 17.0]"
Beethoven,Sonata 29 iva Op 106 F# major.mid,"[139.0416674399994, 182.16666812999964, 165.79166771999863, 184.41666744999978, 147.62500063999914, 170.0833344839997, 172.08333415999942, 164.16666820999848, 141.9583343299995, 154.4583342799991, 213.50000131999974, 169.5833344399985]"
Beethoven,Sonata 28 ii Op 101 F major.mid,"[354.2083331999999, 112.0, 92.74999980000013, 64.5, 143.0, 306.6249997640001, 48.75, 197.74999892999995, 51.25, 188.375, 195.33333339999996, 34.25]"
Beethoven,Sonata 31 ii Op 110 F minor.mid,"[301.49999975, 171.5, 51.166666629999995, 78.16666663, 103.99999984999997, 238.12499982999998, 46.0, 189.08333297999997, 222.04166604999995, 5.0, 133.49999968999998, 43.0]"
Beethoven,Sonata 27 ii Op 90 E major.mid,"[51.41666649999996, 179.41666662999995, 65.58333309999992, 183.91666634599994, 297.458333, 42.83333312999996, 255.0416667, 37.416666599999985, 222.20833309999998, 196.91666649999996, 70.95833333, 365.1249996859999]"
Beethoven,Sonata 29 iii Op 106 F# minor.mid,"[108.91666630000039, 845.1666576000011, 464.4166664000002, 176.62500129999808, 198.29166829999747, 305.2083343999991, 780.2083216000005, 292.0833327300001, 383.5416667, 496.7083333999997, 270.3749986000009, 511.41666690000136]"
Beethoven,Sonatina Anh 5 1 i G major.mid,"[46.49999996, 0, 84.16666623999998, 0, 17.16666663000001, 3.0, 22.54166656000001, 89.49999993, 0, 50.99999996, 0, 56.25]"
Beethoven,Sonata 27 i Op 90 E minor.mid,"[239.66666640000003, 110.58333319999997, 158.87499989999986, 121.12499979999997, 437.4583332300002, 76.54166656999992, 298.74999960000014, 330.5416666699999, 47.20833320000004, 234.99999979999996, 107.625, 507.62499963]"
Beethoven,Sonata 30 iii Op 109 E major.mid,"[52.58333320000014, 285.2083308000028, 32.62499950000063, 225.79166570000132, 358.20833200000175, 26.749999600000592, 275.5833316000019, 42.791666300000315, 319.62499770000153, 277.124998100001, 72.20833320000003, 567.2916638000024]"
Beethoven,String Quartet #2 Op 18 2 iii G major.mid,"[242.29166599999985, 25.33333319999997, 223.08333360000006, 44.75, 125.79166680000003, 69.25000080000018, 121.20833319999997, 398.54166559999976, 14.79166680000003, 121.87499979999996, 18.958333400000015, 238.70833299999993]"
Beethoven,Sonata 31 i Op 110  Ab major.mid,"[181.20833333000002, 104.75, 27.625, 231.5, 34.75, 114.75, 30.5, 118.875, 194.25, 19.0, 139.875, 29.75]"
Beethoven,String Quartet #2 Op 18 2 iv G major.mid,"[279.16666660000004, 100.875, 455.49999990000015, 98.62499992999999, 169.08333330000005, 106.75, 221.2916666000001, 463.2499999000001, 77.58333329999999, 300.875, 116.99999989999998, 208.24999993000012]"
Beethoven,Sonata 28 i Op 101 A major.mid,"[25.416666599999985, 149.04166659999999, 82.875, 62.541666599999985, 278.9166666, 28.375, 131.66666659999999, 19.666666599999985, 153.95833319999997, 180.875, 21.0, 204.125]"
Beethoven,Sonata 29 ii Op 106 Bb major.mid,"[90.37499983999997, 71.04166667, 59.41666633599994, 38.916666629999995, 9.125, 185.04166733300013, 13.125, 72.41666669000001, 23.16666663299999, 51.08333303999994, 134.08333316299996, 85.41666629999995]"
Beethoven,Sonata 32 i Op 111 C minor.mid,"[436.1249988000002, 163.7083328000001, 189.91666619999978, 331.0416656, 104.7916666000001, 325.2916660000001, 105.7083333999999, 410.75000009999997, 318.0833331000001, 73.08333269999989, 170.99999930000013, 181.54166669999995]"
Beethoven,Sonatina Anh 5 1 ii G major.mid,"[45.083333292999995, 10.75, 75.333333136, 0, 42.25, 2.0, 41.91666655, 82.33333333700001, 0, 57.75, 1.0, 62.083333292999995]"
Beethoven,String Quartet #2 Op 18 2 i G major.mid,"[112.41666660000004, 75.62500012000002, 369.33333323000005, 62.04166680000003, 143.95833347000018, 191.25, 181.95833305999997, 242.83333343000004, 33.25, 247.00000027, 94.125, 244.70833326000016]"
Beethoven,Symphony #4 Op 60 iv Bb major.mid,"[715.8750000100001, 81.45833330000005, 428.62500058000035, 373.50000003000014, 193.20833320000008, 1060.3333335999996, 46.875, 434.83333289999973, 140.125, 423.6666665600005, 729.70833313, 136.66666666000012]"
Beethoven,String Quartet #4 Op 18 4 i C minor.mid,"[727.6249998000001, 416.0, 399.375, 403.7916664000001, 132.75, 401.45833300000004, 88.875, 730.9583331000001, 300.91666660000004, 146.41666600000008, 322.37499960000025, 215.70833330000005]"
Beethoven,Symphony #4 Op 60 iii Bb major.mid,"[761.25, 136.25, 820.2916673999999, 778.1666663000001, 95.875, 1833.5833337, 192.875, 380.0, 223.0, 798.875, 1539.9166542000016, 55.0]"
Beethoven,Symphony #6 Op 68 iii F major.mid,"[983.3333332, 19.0, 336.5416667, 10.0, 323.8333334, 969.0416673999996, 59.5, 421.3750000000001, 0, 664.625, 273.7500007999995, 65.0]"
Beethoven,Symphony #6 Op 68 ii Bb major.mid,"[798.125, 46.375, 645.375, 321.625, 170.25, 1129.875, 80.125, 493.7916666000001, 74.875, 446.375, 963.25, 109.125]"
Beethoven,Symphony #3 Op 55 ii C minor.mid,"[563.791666163, 51.08333329999999, 258.74999979, 236.20833316299996, 104.08333340000001, 298.62500020000004, 56.25, 577.583333263, 237.29166659999999, 59.333333400000015, 124.91666663000001, 166.70833316]"
Beethoven,Symphony #5 Op 67 ii Ab major.mid,"[380.8333329999999, 128.875, 34.458333339999996, 390.0833333, 146.375, 109.20833334, 24.625, 236.87500020000004, 344.2500001, 12.625, 161.41666680000003, 44.625]"
Beethoven,Symphony #4 Op 60 ii Eb major.mid,"[97.37500011000002, 23.375, 128.91666672999997, 300.99999991, 17.70833319999997, 232.37500009999997, 29.0, 168.1666667, 160.08333299999993, 26.958333400000015, 367.54166693, 39.75000002999998]"
Beethoven,String Quartet #3 Op 18 3 iv D major.mid,"[173.62499960000002, 329.7916666000001, 564.2499975300004, 320.1666666, 594.9166660600002, 132.2916663000001, 352.08333156000026, 451.2083324600002, 136.125, 704.4166643300002, 125.20833300000004, 334.70833300000004]"
